product_category_name,unique_orders,unique_customers,total_revenue,avg_price,median_price,price_std,total_items,avg_freight,avg_weight,revenue_per_customer,items_per_order,price_volatility,revenue_share,order_share,customer_penetration,revenue_rank
beleza_saude,8836,8678,1297490.77,130.07,79.9,180.71,9975,18.9,1047.95,149.51495390643007,1.1289044816659122,1.389328822941493,9.26,9.01,9.22,1
relogios_presentes,5624,5547,1253143.3,202.09,129.0,257.69,6201,16.83,579.23,225.91370109969353,1.1025960170697013,1.2751249443317334,8.94,5.74,5.89,2
cama_mesa_banho,9417,9145,1092551.02,92.41,78.9,80.64,11823,18.42,2118.74,119.46976708583927,1.2554953806944886,0.8726328319445947,7.79,9.61,9.72,3
esporte_lazer,7720,7515,1023996.34,114.48,76.9,162.89,8945,19.51,1749.83,136.2603246839654,1.1586787564766838,1.4228686233403214,7.3,7.88,7.99,4
informatica_acessorios,6689,6557,942277.57,116.59,80.9,171.62,8082,18.95,903.75,143.70559249656856,1.2082523546120496,1.4719958830088344,6.72,6.82,6.97,5
moveis_decoracao,6449,6317,765093.89,87.5,65.0,89.14,8744,20.76,2676.63,121.11665189172075,1.3558691269964336,1.0187428571428572,5.46,6.58,6.71,6
utilidades_domesticas,5884,5821,666587.0,90.63,59.8,139.85,7355,20.97,3208.7,114.51417282253908,1.25,1.5430872779432858,4.76,6.0,6.19,7
cool_stuff,3632,3615,662309.49,166.12,129.9,201.66,3987,22.03,2523.23,183.21147717842322,1.0977422907488987,1.2139417288706957,4.72,3.71,3.84,8
automotivo,3897,3852,616752.51,140.84,85.99,215.54,4379,21.85,2593.62,160.11228193146417,1.1236848858095971,1.530389094007384,4.4,3.98,4.09,9
ferramentas_jardim,3518,3489,518217.54,113.3,59.9,199.84,4574,23.09,2909.91,148.52895958727427,1.3001705514496873,1.7638128861429834,3.7,3.59,3.71,10
brinquedos,3886,3844,500295.09,117.08,79.9,130.66,4273,18.95,1848.53,130.1496071800208,1.0995882655687081,1.1159890673044073,3.57,3.96,4.08,11
bebes,2885,2858,434479.61,135.94,77.94,225.06,3196,22.38,3273.55,152.0222568229531,1.1077989601386482,1.6555833455936444,3.1,2.94,3.04,12
perfumaria,3162,3124,412754.81,115.94,81.35,101.39,3560,15.83,477.28,132.12381882202305,1.1258697027197977,0.8745040538209419,2.94,3.23,3.32,13
telefonia,4199,4152,339399.16,71.89,29.99,135.9,4721,15.71,261.8,81.74353564547205,1.1243153131698023,1.8903880929197385,2.42,4.28,4.41,14
moveis_escritorio,1273,1264,286158.96,160.94,144.9,94.5,1778,40.19,11279.66,226.39158227848102,1.396700706991359,0.587175344849012,2.04,1.3,1.34,15
pcs,181,179,242811.61,1103.69,1100.0,647.38,220,48.01,6963.23,1356.4894413407822,1.2154696132596685,0.5865596317806631,1.73,0.18,0.19,16
papelaria,2311,2296,239028.99,91.34,79.0,83.65,2617,18.66,2756.21,104.10670296167247,1.1324102120294246,0.9158090650317495,1.71,2.36,2.44,17
pet_shop,1710,1689,222932.3,109.93,89.7,141.35,2028,20.31,3043.49,131.99070455891058,1.1859649122807017,1.2858182479759845,1.59,1.74,1.79,18
instrumentos_musicais,628,624,210928.73,293.77,94.9,449.42,718,27.32,3114.15,338.0268108974359,1.143312101910828,1.529836266466964,1.5,0.64,0.66,19
eletroportateis,630,627,200916.66,286.61,99.99,488.89,701,23.88,3018.2,320.44124401913876,1.1126984126984127,1.7057674191409928,1.43,0.64,0.67,20
eletronicos,2550,2540,166779.21,58.62,21.9,125.82,2845,16.84,806.26,65.66110629921259,1.115686274509804,2.1463664278403276,1.19,2.6,2.7,21
consoles_games,1062,1058,166114.63,139.47,59.99,229.03,1191,17.54,453.24,157.00815689981096,1.1214689265536724,1.6421452642145264,1.18,1.08,1.12,22
fashion_bolsas_e_acessorios,1864,1798,162219.83,75.42,49.0,95.65,2151,15.65,392.87,90.2223748609566,1.1539699570815452,1.268231238398303,1.16,1.9,1.91,23
malas_acessorios,1034,1028,148420.93,127.62,99.9,112.05,1163,27.65,5703.06,144.37833657587547,1.1247582205029014,0.8779971791255289,1.06,1.05,1.09,24
construcao_ferramentas_construcao,748,744,146974.87,154.55,89.0,253.94,951,22.18,3101.75,197.54686827956988,1.2713903743315509,1.6430928502102877,1.05,0.76,0.79,25
eletrodomesticos_2,234,229,123265.31,459.95,228.94,518.04,268,46.18,9960.25,538.2764628820961,1.1452991452991452,1.1262963365583214,0.88,0.24,0.24,26
casa_construcao,490,489,87618.34,138.2,95.0,145.12,634,22.81,3145.93,179.17860940695294,1.2938775510204081,1.0500723589001448,0.63,0.5,0.52,27
agro_industria_e_comercio,182,181,83841.95,332.71,299.95,393.78,252,27.65,4248.31,463.2151933701657,1.3846153846153846,1.183553244567341,0.6,0.19,0.19,28
eletrodomesticos,764,703,82290.52,104.43,47.9,178.68,788,19.19,1919.24,117.05621621621623,1.031413612565445,1.711002585463947,0.59,0.78,0.75,29
moveis_sala,422,415,73058.75,138.37,103.97,115.95,528,35.79,8129.58,176.04518072289156,1.2511848341232228,0.8379706583797065,0.52,0.43,0.44,30
casa_conforto,397,396,64526.24,135.84,89.9,104.52,475,19.22,3078.95,162.9450505050505,1.1964735516372795,0.7694346289752649,0.46,0.41,0.42,31
