product_category_name,volume,avg_price,median_price,price_std,min_price,max_price,total_revenue,avg_freight,avg_weight,price_premium_index,price_range,coefficient_variation,demand_index,value_score
agro_industria_e_comercio,252,332.71,299.95,393.78,12.99,2990.0,83841.95,27.65,4248.31,2.75,2977.01,1.184,0.021,0.008
alimentos,526,57.26,48.89,41.31,9.99,274.99,30119.44,14.32,658.06,0.47,265.0,0.721,0.044,0.094
alimentos_bebidas,289,56.62,38.99,70.43,6.5,699.9,16363.53,16.36,1101.71,0.47,693.4,1.244,0.024,0.051
artes,219,112.89,97.5,435.61,3.5,6499.0,24721.97,19.14,1547.37,0.93,6495.5,3.859,0.019,0.02
artes_e_artesanato,24,75.58,44.9,74.0,9.8,289.49,1814.01,15.42,1369.88,0.63,279.69,0.979,0.002,0.003
artigos_de_festas,46,103.37,69.9,110.82,7.99,571.2,4755.18,19.16,2134.78,0.86,563.21,1.072,0.004,0.005
artigos_de_natal,155,56.95,39.9,52.5,5.5,295.0,8826.84,20.99,1871.86,0.47,289.5,0.922,0.013,0.028
audio,380,138.03,89.0,158.71,14.9,598.99,52450.37,15.74,1216.39,1.14,584.09,1.15,0.032,0.028
automotivo,4379,140.84,85.99,215.54,3.49,2258.0,616752.51,21.85,2593.62,1.17,2254.51,1.53,0.37,0.316
bebes,3196,135.94,77.94,225.06,3.54,3899.0,434479.61,22.38,3273.55,1.13,3895.46,1.656,0.27,0.239
bebidas,386,59.21,47.49,67.65,6.0,623.0,22854.56,15.2,1069.53,0.49,617.0,1.143,0.033,0.067
beleza_saude,9975,130.07,79.9,180.71,1.2,3124.0,1297490.77,18.9,1047.95,1.08,3122.8,1.389,0.844,0.781
brinquedos,4273,117.08,79.9,130.66,4.9,1699.99,500295.09,18.95,1848.53,0.97,1695.09,1.116,0.361,0.372
cama_mesa_banho,11823,92.41,78.9,80.64,6.99,1999.98,1092551.02,18.42,2118.74,0.76,1992.99,0.873,1.0,1.316
casa_conforto,475,135.84,89.9,104.52,6.99,799.0,64526.24,19.22,3078.95,1.12,792.01,0.769,0.04,0.036
casa_conforto_2,31,24.94,12.9,41.03,12.9,219.99,773.17,13.59,823.81,0.21,207.09,1.645,0.003,0.014
casa_construcao,634,138.2,95.0,145.12,8.97,1097.99,87618.34,22.81,3145.93,1.14,1089.02,1.05,0.054,0.047
cds_dvds_musicais,14,52.14,45.0,9.94,45.0,65.0,730.0,16.07,550.0,0.43,20.0,0.191,0.001,0.002
cine_foto,73,95.14,69.0,127.13,6.8,873.99,6945.36,17.31,1146.33,0.79,867.19,1.336,0.006,0.008
climatizacao,302,185.31,139.99,188.46,10.9,1599.0,55962.38,22.68,4099.69,1.53,1588.1,1.017,0.026,0.017
consoles_games,1191,139.47,59.99,229.03,5.18,4099.99,166114.63,17.54,453.24,1.15,4094.81,1.642,0.101,0.088
construcao_ferramentas_construcao,951,154.55,89.0,253.94,0.85,2300.0,146974.87,22.18,3101.75,1.28,2299.15,1.643,0.08,0.062
construcao_ferramentas_ferramentas,105,153.08,59.99,262.14,6.8,1899.0,16072.9,19.83,1157.93,1.27,1892.2,1.712,0.009,0.007
construcao_ferramentas_iluminacao,313,133.35,100.0,129.3,12.51,1290.0,41738.9,24.71,3301.01,1.1,1277.49,0.97,0.026,0.024
construcao_ferramentas_jardim,245,106.94,47.99,149.52,8.82,1349.9,26200.09,22.36,2294.61,0.89,1341.0800000000002,1.398,0.021,0.024
construcao_ferramentas_seguranca,199,210.94,128.25,315.43,8.9,3099.9,41977.51,20.04,790.88,1.75,3091.0,1.495,0.017,0.01
cool_stuff,3987,166.12,129.9,201.66,7.0,3109.99,662309.49,22.03,2523.23,1.37,3102.99,1.214,0.337,0.246
dvds_blu_ray,71,90.97,24.0,246.86,8.9,1420.0,6459.14,20.15,595.14,0.75,1411.1,2.714,0.006,0.008
eletrodomesticos,788,104.43,47.9,178.68,6.19,2090.0,82290.52,19.19,1919.24,0.86,2083.81,1.711,0.067,0.078
eletrodomesticos_2,268,459.95,228.94,518.04,13.9,2350.0,123265.31,46.18,9960.25,3.81,2336.1,1.126,0.023,0.006
eletronicos,2845,58.62,21.9,125.82,3.99,2470.5,166779.21,16.84,806.26,0.49,2466.51,2.146,0.241,0.492
eletroportateis,701,286.61,99.99,488.89,6.5,4799.0,200916.66,23.88,3018.2,2.37,4792.5,1.706,0.059,0.025
esporte_lazer,8945,114.48,76.9,162.89,4.5,4059.0,1023996.34,19.51,1749.83,0.95,4054.5,1.423,0.757,0.797
