customer_state,total_orders,total_customers,total_revenue,avg_order_value,category_diversity,orders_per_customer,revenue_per_customer
AC,79,75,16992.54,182.72,27,1.0533333333333332,226.5672
AL,407,395,82535.38,181.8,42,1.030379746835443,208.95032911392406
AM,146,142,22267.56,131.76,37,1.028169014084507,156.81380281690141
AP,68,67,13654.3,162.55,21,1.0149253731343284,203.79552238805968
BA,3315,3217,533589.35,134.24,63,1.0304631644389182,165.8655113459745
CE,1312,1290,235871.57,153.86,52,1.0170542635658915,182.84617829457366
DF,2094,2032,310366.25,127.2,60,1.030511811023622,152.73929625984252
ES,2008,1940,282236.86,121.71,58,1.0350515463917527,145.4829175257732
GO,1960,1896,301036.46,126.7,63,1.0337552742616034,158.7745042194093
MA,730,712,121280.87,145.6,47,1.0252808988764044,170.33830056179775
MG,11378,11023,1621270.41,120.5,70,1.0322053887326499,147.08068674589495
MS,700,679,119187.45,142.91,54,1.0309278350515463,175.53379970544918
MT,891,861,169779.64,152.54,54,1.0348432055749128,197.18889663182347
PA,952,926,175195.72,159.85,51,1.0280777537796977,189.19624190064795
PB,523,507,120935.0,192.27,46,1.0315581854043392,238.53057199211045
PE,1631,1588,265131.73,142.16,57,1.0270780856423174,166.95952770780855
PI,486,474,91593.53,161.83,48,1.0253164556962024,193.23529535864978
PR,4928,4772,697279.24,118.54,64,1.0326906957250628,146.11886839899412
RJ,12571,12122,1888939.2,125.16,70,1.0370400923939944,155.82735522191058
RN,476,465,93976.01,166.92,45,1.0236559139784946,202.09894623655913
RO,242,231,46384.37,165.66,41,1.0476190476190477,200.79813852813854
RR,44,43,7583.45,151.67,16,1.0232558139534884,176.35930232558138
RS,5353,5172,779355.23,122.04,67,1.0349961330239752,150.68739945862336
SC,3554,3458,530893.9,125.3,64,1.0277617119722382,153.52628687102373
SE,343,336,60780.85,153.88,41,1.0208333333333333,180.8953869047619
SP,40811,39455,5374436.93,110.01,72,1.034368267646686,136.21687821568875
TO,275,268,55739.92,166.89,38,1.0261194029850746,207.98477611940297
