month,category,orders,revenue,avg_price,customers
1,agro_industria_e_comercio,17,5919.41,281.87666666666667,17
1,alimentos,21,911.23,41.41954545454546,21
1,alimentos_bebidas,10,363.98,30.331666666666667,10
1,artes,19,2540.77,133.72473684210527,19
1,artigos_de_festas,2,135.8,67.9,2
1,artigos_de_natal,9,851.5,85.15,9
1,audio,25,3840.18,142.2288888888889,25
1,automotivo,274,41751.74,136.44359477124183,272
1,bebes,244,38199.12,139.41284671532847,243
1,bebidas,40,2471.06,43.3519298245614,40
1,beleza_saude,654,89639.62,122.29143246930423,650
1,brinquedos,201,27712.01,130.10333333333332,201
1,cama_mesa_banho,744,85035.82,88.30303219106958,727
1,casa_conforto,18,3119.96,155.998,18
1,casa_conforto_2,2,72.8,36.4,2
1,casa_construcao,28,6214.33,144.5193023255814,28
1,cine_foto,2,199.98,99.99,2
1,climatizacao,25,5338.44,161.77090909090907,25
1,consoles_games,74,14611.88,182.64849999999998,73
1,construcao_ferramentas_construcao,41,10805.98,211.88196078431372,41
1,construcao_ferramentas_ferramentas,8,532.3,66.5375,8
1,construcao_ferramentas_iluminacao,6,2392.99,341.85571428571427,6
1,construcao_ferramentas_jardim,21,3961.88,158.4752,21
1,construcao_ferramentas_seguranca,9,2228.89,202.62636363636364,9
1,cool_stuff,321,49825.97,140.35484507042253,321
1,dvds_blu_ray,3,79.6,19.9,3
1,eletrodomesticos,27,1795.05,64.10892857142856,26
1,eletrodomesticos_2,19,12855.78,414.70258064516133,19
1,eletronicos,333,16839.27,45.75888586956522,332
1,eletroportateis,58,17111.55,280.5172131147541,58
1,esporte_lazer,648,105342.32,138.79093544137024,644
1,fashion_bolsas_e_acessorios,146,10252.08,60.66319526627219,142
1,fashion_calcados,8,800.3000000000001,72.75454545454546,8
1,fashion_esporte,2,119.8,59.9,2
1,fashion_roupa_feminina,5,239.09000000000003,47.818000000000005,5
1,fashion_roupa_masculina,6,677.5,96.78571428571429,6
1,fashion_underwear_e_moda_praia,10,891.75,89.175,10
1,ferramentas_jardim,245,36554.34,117.9172258064516,245
1,flores,7,284.6,28.46,7
1,fraldas_higiene,1,125.0,25.0,1
1,industria_comercio_e_negocios,16,3662.0,192.73684210526315,16
1,informatica_acessorios,617,88357.2,117.18461538461538,596
1,instrumentos_musicais,52,15745.32,291.58,52
1,la_cuisine,1,112.0,112.0,1
1,livros_importados,6,583.0,97.16666666666667,6
1,livros_interesse_geral,43,2415.04,51.38382978723404,43
1,livros_tecnicos,16,1176.55,69.20882352941176,16
1,malas_acessorios,127,20488.1,145.30567375886523,127
1,market_place,18,1265.76,63.288,18
1,moveis_colchao_e_estofado,9,860.5,95.61111111111111,9
1,moveis_cozinha_area_de_servico_jantar_e_jardim,21,5288.5,229.93478260869566,21
1,moveis_decoracao,615,72317.46,85.7858362989324,602
1,moveis_escritorio,113,21704.75,139.13301282051282,112
1,moveis_quarto,13,988.0,76.0,10
1,moveis_sala,30,3749.89,110.29088235294117,30
1,musica,3,44.769999999999996,14.923333333333332,3
1,papelaria,386,44842.97,102.85084862385321,385
1,pcs,13,10847.99,723.1993333333334,13
1,perfumaria,242,26170.06,96.56848708487085,242
1,pet_shop,90,12197.02,110.882,88
1,portateis_casa_forno_e_cafe,1,369.99,369.99,1
1,relogios_presentes,348,86360.54,219.74692111959286,346
1,seguros_e_servicos,1,183.29,183.29,1
1,sinalizacao_e_seguranca,7,1048.79,131.09875,7
1,tablets_impressao_imagem,3,161.8,53.93333333333334,3
1,telefonia,368,18383.05,44.29650602409638,368
1,telefonia_fixa,29,3136.52,95.0460606060606,29
1,utilidades_domesticas,343,44787.53,108.18243961352657,342
2,agro_industria_e_comercio,28,16737.62,288.57965517241377,27
2,alimentos,40,2664.37,54.37489795918367,40
2,alimentos_bebidas,21,1099.9,43.996,20
2,artes,12,1371.71,97.97928571428572,12
2,artigos_de_natal,17,2059.65,85.81875000000001,17
2,audio,20,3042.09,138.2768181818182,20
2,automotivo,380,56601.88,135.7359232613909,378
2,bebes,202,29073.8,137.7905213270142,199
2,bebidas,27,1967.44,61.4825,27
2,beleza_saude,762,114608.95,131.73442528735632,754
2,brinquedos,199,25514.74,113.9050892857143,195
2,cama_mesa_banho,739,81862.56,90.45586740331491,722
2,casa_conforto,23,3427.42,142.80916666666667,23
2,casa_conforto_2,2,38.7,12.9,2
2,casa_construcao,35,5999.5,139.52325581395348,35
2,cine_foto,3,286.99,95.66333333333334,3
2,climatizacao,23,5831.19,233.24759999999998,23
2,consoles_games,69,17228.19,236.002602739726,69
2,construcao_ferramentas_construcao,57,9340.76,129.73277777777778,56
2,construcao_ferramentas_ferramentas,11,1318.2,109.85000000000001,11
2,construcao_ferramentas_iluminacao,9,1610.8,94.75294117647059,9
2,construcao_ferramentas_jardim,15,2184.23,91.00958333333334,14
2,construcao_ferramentas_seguranca,8,6734.94,673.4939999999999,8
2,cool_stuff,251,44815.48,169.75560606060608,251
2,dvds_blu_ray,2,39.8,19.9,2
2,eletrodomesticos,55,6324.64,112.94000000000001,49
2,eletrodomesticos_2,22,9014.82,409.76454545454544,22
2,eletronicos,315,16134.1,45.576553672316386,313
2,eletroportateis,55,12700.64,204.8490322580645,55
2,esporte_lazer,724,94991.49,113.76226347305389,707
2,fashion_bolsas_e_acessorios,137,12428.63,83.41362416107383,134
2,fashion_calcados,12,1140.75,81.48214285714286,12
2,fashion_roupa_feminina,5,487.79,97.558,5
2,fashion_roupa_masculina,10,1095.84,99.62181818181817,10
2,fashion_underwear_e_moda_praia,13,796.27,53.084666666666664,13
2,ferramentas_jardim,295,40572.43,107.3344708994709,295
2,flores,4,134.48000000000002,33.620000000000005,4
2,fraldas_higiene,1,100.0,25.0,1
2,industria_comercio_e_negocios,30,4992.59,128.0151282051282,29
2,informatica_acessorios,898,113749.29000000001,103.50253867151957,869
2,instrumentos_musicais,47,13032.81,224.70362068965517,47
2,livros_importados,4,424.0,106.0,4
2,livros_interesse_geral,37,2685.36,72.5772972972973,37
2,livros_tecnicos,24,1570.21,58.15592592592593,24
2,malas_acessorios,65,8990.53,113.80417721518988,65
2,market_place,39,3685.03,69.5288679245283,39
2,moveis_colchao_e_estofado,6,389.4,64.89999999999999,6
2,moveis_cozinha_area_de_servico_jantar_e_jardim,19,5029.96,209.58166666666668,19
2,moveis_decoracao,563,62854.31,86.93542185338866,559
2,moveis_escritorio,125,31497.6,177.95254237288134,123
2,moveis_quarto,8,1544.8,171.64444444444445,8
2,moveis_sala,34,9912.01,180.21836363636365,34
2,musica,2,464.97,154.99,2
2,papelaria,163,14664.99,75.98440414507772,161
2,pc_gamer,1,129.99,129.99,1
2,pcs,1,3549.0,3549.0,1
2,perfumaria,247,29609.48,109.66474074074074,244
2,pet_shop,126,13588.09,93.71096551724138,126
2,portateis_casa_forno_e_cafe,5,3024.9,604.98,5
2,relogios_presentes,352,78342.86,200.8791282051282,349
2,sinalizacao_e_seguranca,10,715.79,47.71933333333333,9
2,tablets_impressao_imagem,20,1486.97,70.80809523809523,20
2,telefonia,433,21719.69,44.50756147540984,431
2,telefonia_fixa,28,8332.88,231.46888888888887,28
2,utilidades_domesticas,410,51491.13,100.76542074363992,407
3,agro_industria_e_comercio,27,7363.99,163.64422222222223,27
3,alimentos,55,4377.36,72.95599999999999,55
3,alimentos_bebidas,22,2626.5699999999997,105.06279999999998,22
3,artes,12,740.75,52.910714285714285,12
3,artigos_de_festas,5,913.9,152.31666666666666,5
3,artigos_de_natal,12,874.7800000000001,67.29076923076924,12
3,audio,46,11741.46,244.61374999999998,46
3,automotivo,401,60083.13,136.24292517006802,398
3,bebes,260,52224.48,184.53879858657245,259
3,bebidas,24,1426.57,54.86807692307692,24
3,beleza_saude,814,119148.01,130.7881558726674,812
3,brinquedos,322,37170.25,105.29815864022663,320
3,cama_mesa_banho,919,99477.81,86.72869224062772,900
3,casa_conforto,33,4645.78,136.6405882352941,33
3,casa_conforto_2,4,390.77,78.154,4
3,casa_construcao,39,8875.39,140.87920634920633,38
3,cine_foto,6,711.79,101.6842857142857,6
3,climatizacao,40,7121.39,165.61372093023257,40
3,consoles_games,102,23026.25,203.77212389380531,102
3,construcao_ferramentas_construcao,56,11372.38,149.6365789473684,56
3,construcao_ferramentas_ferramentas,8,931.3,103.47777777777777,8
3,construcao_ferramentas_iluminacao,12,2536.7,195.1307692307692,12
3,construcao_ferramentas_jardim,20,2497.23,108.57521739130435,20
3,construcao_ferramentas_seguranca,15,5754.87,239.78625,15
3,cool_stuff,363,64678.54,154.36405727923628,363
3,dvds_blu_ray,6,1923.5,274.7857142857143,6
3,eletrodomesticos,79,10251.93,125.02353658536586,76
3,eletrodomesticos_2,14,6149.1,439.2214285714286,14
3,eletronicos,276,16955.93,56.14546357615894,276
3,eletroportateis,67,28979.21,396.9754794520548,67
3,esporte_lazer,843,120197.45,120.19745,832
3,fashion_bolsas_e_acessorios,193,15675.63,73.25060747663551,190
3,fashion_calcados,25,2893.4,96.44666666666667,25
3,fashion_esporte,2,129.8,64.9,2
3,fashion_roupa_feminina,2,139.85999999999999,27.971999999999998,2
3,fashion_roupa_infanto_juvenil,2,79.98,39.99,2
3,fashion_roupa_masculina,7,580.8,64.53333333333333,7
3,fashion_underwear_e_moda_praia,11,683.54,62.13999999999999,11
3,ferramentas_jardim,326,56892.1,125.5896247240618,324
3,flores,3,89.67,29.89,3
3,fraldas_higiene,2,163.0,27.166666666666668,2
3,industria_comercio_e_negocios,28,3298.45,103.0765625,28
3,informatica_acessorios,788,115784.28,122.1353164556962,780
3,instrumentos_musicais,60,12489.53,192.1466153846154,60
3,la_cuisine,1,389.0,389.0,1
3,livros_importados,2,259.0,86.33333333333333,2
3,livros_interesse_geral,54,4418.89,66.95287878787879,53
3,livros_tecnicos,19,1033.47,51.673500000000004,19
3,malas_acessorios,87,12028.16,122.73632653061225,87
3,market_place,33,3446.33,98.46657142857143,33
3,moveis_colchao_e_estofado,4,440.0,110.0,4
3,moveis_cozinha_area_de_servico_jantar_e_jardim,15,2956.64,197.10933333333332,15
3,moveis_decoracao,707,78468.9,81.2307453416149,690
3,moveis_escritorio,211,43887.83,152.91926829268294,211
3,moveis_quarto,6,1171.7,167.3857142857143,6
3,moveis_sala,36,7093.7,154.2108695652174,35
3,musica,3,351.96,117.32,3
3,papelaria,202,19596.760000000002,85.57537117903931,200
3,perfumaria,290,41047.89,127.47791925465839,289
3,pet_shop,151,22528.04,128.00022727272727,151
3,portateis_casa_forno_e_cafe,7,9390.9,1043.4333333333334,7
3,relogios_presentes,492,129988.24,245.72446124763707,490
3,sinalizacao_e_seguranca,8,996.9,99.69,8
3,tablets_impressao_imagem,7,754.29,94.28625,7
3,telefonia,488,35244.85,65.87822429906542,486
3,telefonia_fixa,27,4034.94,109.05243243243244,27
3,utilidades_domesticas,516,54000.87,82.44407633587787,512
4,agro_industria_e_comercio,12,4500.7,375.05833333333334,12
4,alimentos,44,2255.73,46.03530612244898,44
4,alimentos_bebidas,18,652.97,31.093809523809526,18
4,artes,27,2260.18,83.71037037037037,27
4,artes_e_artesanato,1,15.99,15.99,1
4,artigos_de_festas,1,43.8,21.9,1
4,artigos_de_natal,10,344.15,26.47307692307692,10
4,audio,39,8577.16,194.93545454545455,39
4,automotivo,417,67615.58,145.7232327586207,416
4,bebes,270,54541.37,180.0045214521452,269
4,bebidas,31,5326.36,85.90903225806451,31
4,beleza_saude,802,116087.1,129.4170568561873,800
4,brinquedos,299,36903.39,114.25198142414861,297
4,cama_mesa_banho,842,102091.15000000001,94.35411275415898,826
4,casa_conforto,31,6335.5,113.13392857142857,31
4,casa_conforto_2,2,25.8,12.9,2
4,casa_construcao,64,10975.59,133.84865853658536,64
4,cds_dvds_musicais,1,65.0,65.0,1
4,cine_foto,7,639.74,91.39142857142858,7
4,climatizacao,36,5844.02,149.84666666666666,35
4,consoles_games,58,11091.28,168.04969696969698,58
4,construcao_ferramentas_construcao,78,13525.67,142.37547368421053,77
4,construcao_ferramentas_ferramentas,17,2201.04,115.84421052631579,17
4,construcao_ferramentas_iluminacao,37,4962.67,105.58872340425532,37
4,construcao_ferramentas_jardim,19,2817.0,108.34615384615384,19
4,construcao_ferramentas_seguranca,23,2887.26,120.30250000000001,23
4,cool_stuff,314,59576.56,174.2004678362573,312
4,dvds_blu_ray,6,1527.4,218.20000000000002,5
4,eletrodomesticos,115,16812.35,140.10291666666666,105
4,eletrodomesticos_2,25,22259.49,856.1342307692308,25
4,eletronicos,250,16688.46,62.50359550561797,250
4,eletroportateis,82,40297.79,424.18726315789473,81
4,esporte_lazer,730,94233.21,112.58448028673835,722
4,fashion_bolsas_e_acessorios,142,12942.15,78.43727272727273,142
4,fashion_calcados,31,2965.2000000000003,87.21176470588236,31
4,fashion_esporte,5,279.68,55.936,5
4,fashion_roupa_feminina,2,239.85000000000002,39.975,2
4,fashion_roupa_masculina,7,611.69,76.46125,7
4,fashion_underwear_e_moda_praia,10,458.19,45.819,10
4,ferramentas_jardim,337,68173.39,151.4964222222222,337
4,flores,3,158.4,52.800000000000004,3
4,fraldas_higiene,4,149.0,37.25,4
4,industria_comercio_e_negocios,48,5800.61,107.4187037037037,48
4,informatica_acessorios,601,81406.51,117.63946531791906,600
4,instrumentos_musicais,73,23562.74,298.26253164556965,73
4,la_cuisine,2,304.0,101.33333333333333,2
4,livros_importados,5,337.98,67.596,5
4,livros_interesse_geral,55,7218.889999999999,116.43370967741934,55
4,livros_tecnicos,24,1262.05,50.482,24
4,malas_acessorios,100,16869.08,147.9743859649123,99
4,market_place,35,5069.599999999999,117.89767441860464,35
4,moveis_colchao_e_estofado,1,109.4,109.4,1
4,moveis_cozinha_area_de_servico_jantar_e_jardim,27,4198.87,144.78862068965518,27
4,moveis_decoracao,635,82868.71,98.30214709371293,631
4,moveis_escritorio,136,30537.94,155.014923857868,136
4,moveis_quarto,11,2329.86,179.22,11
4,moveis_sala,36,7207.07,156.67543478260868,36
4,musica,7,1756.6599999999999,250.95142857142855,7
4,papelaria,167,17199.49,85.99745000000001,166
4,pc_gamer,2,389.97,129.99,2
4,pcs,13,14624.91,914.056875,13
4,perfumaria,261,39229.409999999996,134.80896907216493,259
4,pet_shop,199,25426.57,111.52004385964912,197
4,portateis_casa_forno_e_cafe,15,13980.98,932.0653333333333,15
4,relogios_presentes,563,125385.52,197.14704402515724,558
4,sinalizacao_e_seguranca,25,2350.36,60.26564102564103,25
4,tablets_impressao_imagem,10,1179.78,90.7523076923077,10
4,telefonia,391,25195.49,55.3747032967033,390
4,telefonia_fixa,17,5043.26,219.27217391304347,17
4,utilidades_domesticas,564,62328.54,91.12359649122807,563
5,agro_industria_e_comercio,12,4859.69,404.97416666666663,12
5,alimentos,39,1930.83,41.081489361702126,38
5,alimentos_bebidas,27,1709.73,38.8575,27
5,artes,43,9696.51,215.478,43
5,artes_e_artesanato,2,111.78999999999999,55.894999999999996,2
5,artigos_de_festas,3,100.69999999999999,25.174999999999997,3
5,artigos_de_natal,6,524.53,87.42166666666667,6
5,audio,37,4778.86,125.75947368421052,37
5,automotivo,404,61545.44,134.9680701754386,402
5,bebes,326,45534.97,121.75125668449198,323
5,bebidas,35,2880.98,58.79551020408163,35
5,beleza_saude,953,146767.99,132.94201992753622,946
