customer_state,total_orders,total_customers,total_revenue,avg_order_value,revenue_std,category_diversity,avg_freight,avg_installments,revenue_per_customer,orders_per_customer,market_penetration
AC,81,77,17059.44,179.57,220.04,27,40.02,3.64,221.5511688311688,1.051948051948052,0.08
AL,413,401,83110.36,181.46,243.52,42,35.74,3.93,207.25775561097257,1.0299251870324189,0.42
AM,148,143,22809.36,133.39,204.72,37,33.08,3.26,159.50601398601398,1.034965034965035,0.15
AP,68,67,13654.3,162.55,219.09,21,34.08,2.65,203.79552238805968,1.0149253731343284,0.07
BA,3380,3277,541411.2,133.75,202.35,63,26.32,3.31,165.2155019835215,1.0314311870613366,3.41
CE,1336,1313,239418.24,154.36,213.83,52,32.46,3.61,182.34443259710585,1.0175171363290174,1.37
DF,2140,2075,313068.06,126.59,225.17,60,21.08,2.82,150.8761734939759,1.0313253012048194,2.16
ES,2033,1964,283897.93,121.43,212.8,58,21.98,3.02,144.55088085539714,1.0351323828920571,2.04
GO,2020,1952,309834.22,127.5,179.92,63,22.73,3.11,158.72654713114753,1.0348360655737705,2.03
MA,747,726,122881.79,145.59,205.3,47,38.26,3.09,169.25866391184573,1.0289256198347108,0.76
MG,11635,11259,1639636.83,120.23,178.66,70,20.63,3.06,145.62899280575542,1.0333955058175681,11.71
MS,715,694,119823.41,142.14,319.58,54,23.42,2.9,172.65621037463978,1.0302593659942363,0.72
MT,907,876,170822.04,151.84,202.43,54,28.97,3.22,195.0023287671233,1.0353881278538812,0.91
PA,975,949,184407.88,165.24,252.66,51,35.74,3.33,194.3181032665964,1.0273972602739727,0.99
PB,536,519,123726.34,193.62,336.44,46,43.26,3.72,238.39371868978805,1.0327552986512525,0.54
PE,1652,1609,271258.36,143.6,211.06,57,32.78,3.56,168.58816656308264,1.026724673710379,1.67
PI,495,482,92167.7,160.85,197.04,48,39.23,3.45,191.21929460580913,1.0269709543568464,0.5
PR,5045,4882,705856.47,118.39,178.0,64,20.58,2.99,144.58346374436707,1.0333879557558379,5.08
RJ,12852,12384,1913564.16,124.85,187.87,70,21.1,3.04,154.51906976744186,1.0377906976744187,12.88
RN,485,474,94554.55,166.18,233.93,45,35.28,3.66,199.4821729957806,1.0232067510548524,0.49
RO,253,240,46964.03,164.21,270.62,41,40.97,3.39,195.68345833333333,1.0541666666666667,0.25
RR,46,45,7829.43,150.57,173.82,16,42.98,2.96,173.98733333333334,1.0222222222222221,0.05
RS,5466,5277,787770.53,121.46,178.28,67,21.83,3.05,149.28378434716694,1.0358158044343377,5.49
SC,3637,3534,538215.45,125.11,194.39,64,21.44,2.96,152.2963921901528,1.0291454442558008,3.68
SE,350,342,60954.6,153.54,206.88,41,36.63,3.65,178.22982456140352,1.023391812865497,0.36
SP,41746,40302,5448301.72,109.91,164.87,72,15.2,2.71,135.1868820405935,1.0358294873703537,41.92
TO,280,273,56251.91,165.93,248.48,38,39.68,3.06,206.0509523809524,1.0256410256410255,0.28
