product_category,total_sales,unique_customers,total_revenue,avg_price,popularity_rank
cama_mesa_banho,11823,9145,1092551.02,92.40895035101074,1
beleza_saude,9975,8678,1297490.77,130.0742626566416,2
esporte_lazer,8945,7515,1023996.34,114.47695248742313,3
moveis_decoracao,8744,6317,765093.89,87.49930123513266,4
informatica_acessorios,8082,6557,942277.57,116.58965231378372,5
utilidades_domesticas,7355,5821,666587.0,90.63045547246772,6
relogios_presentes,6201,5547,1253143.3,202.08729237219805,7
telefonia,4721,4152,339399.16,71.89137047235755,8
ferramentas_jardim,4574,3489,518217.54,113.29635767380847,9
automotivo,4379,3852,616752.51,140.8432313313542,10
brinquedos,4273,3844,500295.09,117.08286683828692,11
cool_stuff,3987,3615,662309.49,166.11725357411586,12
perfumaria,3560,3124,412754.81,115.94236235955056,13
bebes,3196,2858,434479.61,135.94480913642053,14
eletronicos,2845,2540,166779.21,58.621866432337434,15
papelaria,2617,2296,239028.99,91.33702330913259,16
fashion_bolsas_e_acessorios,2151,1798,162219.83,75.41600650860065,17
pet_shop,2028,1689,222932.3,109.92716962524655,18
moveis_escritorio,1778,1264,286158.96,160.94429696287966,19
consoles_games,1191,1058,166114.63,139.47492023509656,20
malas_acessorios,1163,1028,148420.93,127.61902837489251,21
construcao_ferramentas_construcao,951,744,146974.87,154.5477076761304,22
eletrodomesticos,788,703,82290.52,104.42959390862944,23
instrumentos_musicais,718,624,210928.73,293.7726044568245,24
eletroportateis,701,627,200916.66,286.6143509272468,25
casa_construcao,634,489,87618.34,138.19927444794953,26
livros_interesse_geral,565,506,48197.45,85.30522123893805,27
moveis_sala,528,415,73058.75,138.3688446969697,28
alimentos,526,445,30119.44,57.261292775665396,29
casa_conforto,475,396,64526.24,135.84471578947367,30
bebidas,386,292,22854.56,59.20870466321244,31
audio,380,349,52450.37,138.02728947368422,32
market_place,332,279,29350.1,88.4039156626506,33
construcao_ferramentas_iluminacao,313,244,41738.9,133.35111821086264,34
climatizacao,302,251,55962.38,185.30589403973508,35
moveis_cozinha_area_de_servico_jantar_e_jardim,298,247,48501.07,162.75526845637583,36
alimentos_bebidas,289,225,16363.53,56.62121107266436,37
fashion_calcados,274,238,24609.37,89.81521897810218,38
telefonia_fixa,271,217,61701.26,227.679926199262,39
industria_comercio_e_negocios,271,233,40055.61,147.80667896678966,40
livros_tecnicos,270,259,19270.91,71.37374074074074,41
eletrodomesticos_2,268,229,123265.31,459.94518656716417,42
agro_industria_e_comercio,252,181,83841.95,332.7061507936508,43
construcao_ferramentas_jardim,245,191,26200.09,106.93914285714285,44
pcs,220,179,242811.61,1103.6891363636364,45
artes,219,202,24721.97,112.88570776255709,46
sinalizacao_e_seguranca,201,139,21584.81,107.38711442786071,47
construcao_ferramentas_seguranca,199,166,41977.51,210.94226130653269,48
artigos_de_natal,155,128,8826.84,56.94735483870968,49
fashion_roupa_masculina,145,110,11631.61,80.218,50
fashion_underwear_e_moda_praia,144,121,10330.25,71.73784722222223,51
moveis_quarto,125,91,21925.68,175.40544,52
construcao_ferramentas_ferramentas,105,97,16072.9,153.0752380952381,53
tablets_impressao_imagem,87,79,7840.31,90.11850574712643,54
portateis_casa_forno_e_cafe,78,75,48945.71,627.5091025641026,55
cine_foto,73,65,6945.36,95.14191780821918,56
dvds_blu_ray,71,58,6459.139999999999,90.9738028169014,57
livros_importados,62,52,4851.85,78.25564516129033,58
fashion_roupa_feminina,48,39,2803.64,58.409166666666664,59
artigos_de_festas,46,39,4755.18,103.37347826086958,60
moveis_colchao_e_estofado,41,38,4835.88,117.94829268292683,61
musica,40,38,6258.2,156.45499999999998,62
fraldas_higiene,39,26,1567.59,40.19461538461538,63
flores,33,29,1110.04,33.63757575757575,64
casa_conforto_2,31,23,773.17,24.940967741935484,65
fashion_esporte,30,27,2119.51,70.65033333333334,66
artes_e_artesanato,24,21,1814.01,75.58375,67
la_cuisine,16,13,2303.98,143.99875,68
portateis_cozinha_e_preparadores_de_alimentos,15,14,3968.5299999999997,264.5686666666667,69
cds_dvds_musicais,14,12,730.0,52.142857142857146,70
pc_gamer,10,8,1675.94,167.594,71
fashion_roupa_infanto_juvenil,8,8,569.85,71.23125,72
seguros_e_servicos,2,2,283.28999999999996,141.64499999999998,73
