from_category,to_category,count
cama_mesa_banho,cama_mesa_banho,582
moveis_decoracao,moveis_decoracao,390
esporte_lazer,esporte_lazer,304
informatica_acessorios,informatica_acessorios,282
beleza_saude,beleza_saude,216
utilidades_domesticas,utilidades_domesticas,185
ferramentas_jardim,ferramentas_jardim,135
relogios_presentes,relogios_presentes,125
fashion_bolsas_e_acessorios,fashion_bolsas_e_acessorios,109
telefonia,telefonia,96
automotivo,automotivo,73
brinquedos,brinquedos,72
eletrodomesticos,eletrodomesticos,67
perfumaria,perfumaria,63
moveis_decoracao,cama_mesa_banho,59
cama_mesa_banho,moveis_decoracao,54
bebes,bebes,41
pet_shop,pet_shop,41
moveis_escritorio,moveis_escritorio,36
cool_stuff,cool_stuff,32
papelaria,papelaria,30
utilidades_domesticas,cama_mesa_banho,28
cama_mesa_banho,utilidades_domesticas,27
construcao_ferramentas_construcao,construcao_ferramentas_construcao,26
moveis_decoracao,utilidades_domesticas,22
alimentos,alimentos,20
bebidas,bebidas,20
ferramentas_jardim,moveis_decoracao,19
casa_construcao,casa_construcao,17
moveis_sala,moveis_sala,17
malas_acessorios,malas_acessorios,16
utilidades_domesticas,moveis_decoracao,15
cama_mesa_banho,informatica_acessorios,14
beleza_saude,esporte_lazer,14
eletronicos,eletronicos,14
moveis_decoracao,beleza_saude,13
casa_conforto,cama_mesa_banho,12
esporte_lazer,beleza_saude,12
cama_mesa_banho,beleza_saude,12
cama_mesa_banho,bebes,12
moveis_decoracao,ferramentas_jardim,12
esporte_lazer,relogios_presentes,12
moveis_decoracao,relogios_presentes,11
perfumaria,moveis_decoracao,11
esporte_lazer,cama_mesa_banho,11
esporte_lazer,moveis_decoracao,11
bebes,cama_mesa_banho,10
alimentos_bebidas,alimentos_bebidas,10
utilidades_domesticas,informatica_acessorios,9
livros_interesse_geral,livros_interesse_geral,9
fraldas_higiene,fraldas_higiene,9
informatica_acessorios,beleza_saude,9
construcao_ferramentas_jardim,construcao_ferramentas_jardim,9
cama_mesa_banho,brinquedos,9
consoles_games,consoles_games,9
beleza_saude,perfumaria,8
esporte_lazer,fashion_bolsas_e_acessorios,8
utilidades_domesticas,esporte_lazer,8
cama_mesa_banho,automotivo,8
cool_stuff,bebes,8
ferramentas_jardim,utilidades_domesticas,8
beleza_saude,cama_mesa_banho,8
moveis_decoracao,cool_stuff,8
informatica_acessorios,telefonia,8
cool_stuff,cama_mesa_banho,8
sinalizacao_e_seguranca,sinalizacao_e_seguranca,7
telefonia,cama_mesa_banho,7
beleza_saude,moveis_decoracao,7
cama_mesa_banho,esporte_lazer,7
esporte_lazer,informatica_acessorios,7
esporte_lazer,utilidades_domesticas,7
telefonia,esporte_lazer,7
perfumaria,beleza_saude,7
perfumaria,esporte_lazer,7
moveis_decoracao,esporte_lazer,7
informatica_acessorios,cama_mesa_banho,7
